time,building,gld_object,property,complex_value,double_value,anomaly
2022-09-15 19:05:00,main,msource,measured_voltage_B,(-6235.245596707626-10799.84347825188j),N/A,1
2022-09-15 19:05:00,main,msource,measured_voltage_C,(-6235.358227540718+10799.910744953302j),N/A,1
2022-09-15 19:05:00,main,msource,measured_current_A,(0.0023789710611177295-0.0019298989571703284j),N/A,1
2022-09-15 19:05:00,main,msource,measured_current_B,(-0.00223781171371229+2.6539055397734046e-05j),N/A,1
2022-09-15 19:05:00,main,msource,measured_current_C,(-0.0001975058694370091+0.0016143894754350185j),N/A,1
2022-09-15 19:05:00,main,msource,measured_power_A,(29.666865196894772+24.067162216933465j),N/A,1
2022-09-15 19:05:00,main,msource,measured_power_B,(13.666687989829118+24.33349377020084j),N/A,1
2022-09-15 19:05:00,main,msource,measured_power_C,(18.66678209027182+7.933250936584789j),N/A,1
2022-09-15 19:10:00,main,msource,measured_voltage_A,(12470.54920028061+0.10956114811428483j),N/A,1
2022-09-15 19:10:00,main,msource,measured_voltage_B,(-6235.246546053695-10799.84342335344j),N/A,1
2022-09-15 19:10:00,main,msource,measured_voltage_C,(-6235.3578011264735+10799.91064075646j),N/A,1
2022-09-15 19:10:00,main,msource,measured_current_A,(0.0023896565902459255-0.001983367117069923j),N/A,1
2022-09-15 19:10:00,main,msource,measured_current_B,(-0.0022182030079420656+0.00011395968613214791j),N/A,1
2022-09-15 19:10:00,main,msource,measured_current_C,(-0.0002238175511592999+0.0015745081327622756j),N/A,1
2022-09-15 19:10:00,main,msource,measured_power_A,(29.800112780458136+24.73393902915881j),N/A,1
2022-09-15 19:10:00,main,msource,measured_power_B,(12.600295876914982+24.666811906330775j),N/A,1
